stopId,stopName
195,University of Florida Law School
196,Pressly Stadium
197,Ben Hill Griffin Stadium
198,St. Augustine Catholic Church
199,Keene Flint Hall
200,Anderson Hall
201,Leonardo's Pizza By The Slice
202,Leonardo's Pizza By The Slice
203,University of Florida Human Resources
204,Ayers Medical Plaza
205,The Continuum
206,AT&T Building
207,Alachua County Office of the State Attorney
208,Bo Diddley Community Plaza
209,Alachua County Courthouse
210,Wells Fargo Downtown
211,The 400
212,Sapp's Pawn Shop
213,Santa Fe College Charles L. Blount Center
214,Santa Fe College Charles L. Blount Center
215,Williams Fellowship Hall
216,Gainesville Police Department
217,Big Ron's Yoga
218,Bailey Village Assisted Living
219,Bly's School of Cosmetology Inc.
220,Medical Marihuana Treatment Center
221,Sixth Street Plaza
222,Hand & Hand Day Care
223,Cecile's
224,Progressive Insurance @ NW 6th Street
225,Northbound NW 6th Street @ NW 26th Avenue
226,Oak Gate Apartments
227,Northbound NW 6th Street @ NW 31st Avenue
228,Northbound NW 6th Street @ NW 33rd Avenue
229,Northbound NW 6th Street @ NW 36th Avenue
230,Stephen Foster Elementary School
231,Stephen Foster Elementary School
232,Schwab Building Corp
233,Gainesville Tire Service
234,Powder Coating of Gainesville
235,Oak Ridge Apartments
236,Early Learning Coalition
237,Sandy's Boutique
238,CVS @ NW 13th Street
239,Publix @ NW 39th Avenue
240,Tires Plus @ NW 13th Street
241,Grace Presbyterian Church
242,McDonald's @ NW 13th Street
243,Verizon Shop
244,SB NW 13th ST at NW 23rd AVE (Furniture Country)
245,Plaza Verde @ NW 13th St Southbound
246,Oak Park Offices
247,Gainesville High School
248,Gainesville High School
249,Georgetown Apartments
250,Gainesville High School Tennis Courts
251,Gainesville High School Baseball Field
252,Plaza Verde - NW 23rd Avenue
253,Plaza Verde - NW 23rd Avenue
254,Big Lot on NW 13th Street
255,Burlington @ NW 13th Street
256,Mount Pleasant Cemetary
257,Mount Pleasant Cemetary
258,Johnson & Fletcher Insurance
259,ALDI Food market
260,Auto Zone @ NW 13th Street
261,Sunshine Inn
262,Westgate Mobile Manor Park
263,Oak Ridge Apartments
264,Service Experts
265,Gainesville Tire Service
266,Melody Plaza
267,Seminole Arms Apartments
268,Professional Academy Magnet
269,Kangaroo Gas @ E Hawthorne Road
270,Santa Fe College Charles L. Blount Center
271,Santa Fe College Charles L. Blount Center
272,University of Florida Family Medicine
273,University of Florida Family Medicine
274,Lincoln Middle School
275,Furniture & Antique @ NW 6th Street
276,NW 6th ST at NW 19th LN (Hand N' Hand Childcare)
277,Acupuncture Center
278,Atlantic Design
